component	occ_ttl	selected
35-3011	Bartenders	false
35-3023	Fast Food and Counter Workers	false
35-3031	Waiters and Waitresses	false
35-3041	Food Servers, Nonrestaurant	false
35-9011	Dining Room and Cafeteria Attendants and Bartender Helpers	false
35-9021	Dishwashers	false
35-9031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	false
37-1011	First-Line Supervisors of Housekeeping and Janitorial Workers	false
37-1012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	false
37-2011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	false
37-2012	Maids and Housekeeping Cleaners	false
37-2021	Pest Control Workers	false
37-3011	Landscaping and Groundskeeping Workers	false
37-3012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	false
37-3013	Tree Trimmers and Pruners	false
39-1013	First-Line Supervisors of Entertainment and Recreation Workers	false
39-2011	Animal Trainers	false
39-2021	Animal Caretakers	false
39-3011	Gambling Dealers	false
39-3012	Gambling and Sports Book Writers and Runners	false
39-3021	Motion Picture Projectionists	false
39-3031	Ushers, Lobby Attendants, and Ticket Takers	false
39-3091	Amusement and Recreation Attendants	false
39-3092	Costume Attendants	false
39-3093	Locker Room, Coatroom, and Dressing Room Attendants	false
39-4011	Embalmers	false
39-4012 | 39-9099	Crematory Operators; Personal Care and Service Workers, All Other	false
39-4021	Funeral Attendants	false
39-5011	Barbers	false
39-5012	Hairdressers, Hairstylists, and Cosmetologists	false
39-5091	Makeup Artists, Theatrical and Performance	false
39-5092	Manicurists and Pedicurists	false
39-5093	Shampooers	false
39-5094	Skincare Specialists	false
39-6011	Baggage Porters and Bellhops	false
39-6012	Concierges	false
39-9011	Childcare Workers	false
39-9031	Exercise Trainers and Group Fitness Instructors	false
39-9032	Recreation Workers	false
39-9041	Residential Advisors	false
41-1011	First-Line Supervisors of Retail Sales Workers	false
41-1012	First-Line Supervisors of Non-Retail Sales Workers	false
41-2011	Cashiers	false
41-2012	Gambling Change Persons and Booth Cashiers	false
41-2021	Counter and Rental Clerks	false
41-2022	Parts Salespersons	false
41-2031	Retail Salespersons	false
41-3011	Advertising Sales Agents	false
41-3021	Insurance Sales Agents	false
41-3031	Securities, Commodities, and Financial Services Sales Agents	false
41-3041	Travel Agents	false
41-3091	Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel	false
41-4011	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	false
41-4012	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	false
41-9011	Demonstrators and Product Promoters	false
41-9012	Models	false
41-9021	Real Estate Brokers	false
41-9022	Real Estate Sales Agents	false
41-9031	Sales Engineers	false
41-9041	Telemarketers	false
41-9091	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	false
43-1011	First-Line Supervisors of Office and Administrative Support Workers	false
43-2011	Switchboard Operators, Including Answering Service	false
43-2021	Telephone Operators	false
43-3011	Bill and Account Collectors	false
43-3021	Billing and Posting Clerks	false
43-3041	Gambling Cage Workers	false
43-3071	Tellers	false
43-4011	Brokerage Clerks	false
43-4021	Correspondence Clerks	false
43-4041	Credit Authorizers, Checkers, and Clerks	false
43-4051	Customer Service Representatives	false
43-4081	Hotel, Motel, and Resort Desk Clerks	false
43-4121	Library Assistants, Clerical	false
43-4131	Loan Interviewers and Clerks	false
43-4141	New Accounts Clerks	false
43-4151	Order Clerks	false
43-4161	Human Resources Assistants, Except Payroll and Timekeeping	false
43-4171	Receptionists and Information Clerks	false
