account	year	gfcf	volume
3364OT	2000	1340.767015788236	1331.6345437645407
3364OT	2001	1349.2857348365783	1269.255721432839
3364OT	2002	1306.7191112826806	1256.0462655852182
3364OT	2003	1344.508545253934	1275.728967034773
3364OT	2004	1821.9046933653335	1733.198649758226
3364OT	2005	1789.3306113785115	1709.2791343743697
3364OT	2006	2047.7285744274259	1955.3250008289185
3364OT	2007	2299.658240668448	2206.2525113276915
3364OT	2008	2303.8542296993464	2177.24389136231
3364OT	2009	2664.663387367945	2631.622429688722
3364OT	2010	2731.9695159417633	2735.779420331253
3364OT	2011	3111.098296024165	3152.421808416244
3364OT	2012	3210.0457548473614	3216.107478930608
3364OT	2013	3394.3272691515385	3461.6190549508988
3364OT	2014	3648.2607817362577	3734.5055603606847
3364OT	2015	3679.858116557399	3741.2478277130012
3364OT	2016	3766.6502210985045	3819.645074356605
3364OT	2017	3879.0494133515595	3879.0494133515595
3364OT	2018	4277.751542759566	4206.0668752624315
3364OT	2019	4426.0572614857265	4185.061907405891
3364OT	2020	3927.154726267449	3838.719147431974
3364OT	2021	3568.59149794579	3419.3669140851
3364OT	2022	4155.358934717296	3906.4357211986817
3364OT	2023	4769.666760322997	4516.114677645802
337	1997	328.11092983688735	381.6625075909892
337	1998	360.531231908843	403.495114717969
337	1999	393.6460807496962	426.26049032420576
337	2000	430.2794743867729	427.3486778979458
337	2001	439.9641598413204	413.8686215130133
337	2002	397.8565294732063	382.4281773861735
337	2003	434.27196087012504	412.0563770372874
337	2004	449.33271503059444	427.45532069775504
337	2005	424.92803635421603	405.9175098957106
337	2006	422.0530474051162	403.0079403946436
337	2007	426.5513705596276	409.2260388369278
337	2008	402.9770809437209	380.83112053414516
337	2009	336.30072583502596	332.13070642376255
337	2010	322.83560557594615	323.2858202593785
337	2011	350.0164027322111	354.66553489695815
337	2012	360.7250179431255	361.4061968719285
337	2013	390.58409849439585	398.32734167880767
337	2014	395.48178534076766	404.8309632277923
337	2015	432.5727305538715	439.7891813357662
337	2016	434.8177154504828	440.9353796007794
337	2017	470.0974761399925	470.0974761399925
337	2018	509.2782077568032	500.74394890103247
337	2019	516.5806789451368	488.45326524977133
337	2020	493.10616310530753	482.0019077343956
337	2021	546.3776241456964	523.5302420228426
337	2022	595.8721408200132	560.1769312197324
337	2023	625.2642415733626	592.025640505189
339	1997	900.6526372104636	1047.6497816060803
339	1998	987.9294677233248	1105.659312236987
339	1999	1046.8252725901623	1133.556958393259
339	2000	1210.6386914757882	1202.3925727612661
339	2001	1250.8951090809223	1176.7009263650257
339	2002	1067.7527109763075	1026.3466674745487
339	2003	1153.7955726925356	1094.772092982379
339	2004	1235.0179171923896	1174.8865867133702
339	2005	1294.86926893843	1236.9391151442483
339	2006	1337.0072871861373	1276.6749497825883
339	2007	1416.403089149419	1358.8727304018312
339	2008	1421.6897983584217	1343.5595833213522
339	2009	1407.0458411830111	1389.5989312612382
339	2010	1400.5400733881672	1402.49321515718
339	2011	1480.3902725265352	1500.053722521041
339	2012	1596.1452010558462	1599.1592988427667
339	2013	1653.6242406658148	1686.4069747312096
339	2014	1778.7492616793556	1820.7988424192743
339	2015	1876.2321790609396	1907.5326661680765
339	2016	1902.9298183958024	1929.7030732952014
339	2017	1948.0242402101412	1948.0242402101412
339	2018	2105.144166636709	2069.8670921945745
339	2019	2225.5650324025805	2104.384758103209
339	2020	2130.51864171556	2082.5415024295403
339	2021	2275.3580424027105	2180.2114398265767
339	2022	2518.714808465115	2367.83335781067
339	2023	2824.1592824313893	2674.0289895083415
42	1997	6250.843578298944	7271.0550539679
42	1998	6954.450114998292	7783.199896704434
42	1999	7452.050407653825	8069.46853030409
42	2000	8555.703181668652	8497.427046419536
42	2001	9021.368362487856	8486.285086700154
42	2002	9136.04603250728	8781.762202958233
42	2003	9527.46725287614	9040.080853241225
42	2004	10326.822087549725	9824.023267305754
42	2005	10953.626452294995	10463.58063824483
42	2006	11928.956418949037	11390.66329935434
42	2007	13970.010751593609	13402.587723217215
42	2008	14081.810807577851	13307.932491944042
42	2009	12859.863198216406	12700.405085155238
42	2010	12866.367040881312	12884.310003999964
42	2011	14322.132792807011	14512.368129537103
42	2012	15251.555831750886	15280.356269611528
42	2013	15758.178143455938	16070.580532540438
42	2014	16377.631247872632	16764.79797357283
42	2015	17161.17506462022	17447.468597397343
42	2016	17720.758606717034	17970.080669255483
42	2017	19147.334122530705	19147.334122530705
42	2018	20022.904332053055	19687.369361164056
42	2019	21707.998831311725	20526.015283507244
42	2020	21507.490594141986	21023.163514470427
42	2021	23934.743417338737	22933.885760103185
42	2022	26802.59595257205	25197.009426841716
42	2023	28892.34892432993	27356.452265020333
441	1997	1131.5187931721318	1316.196020056674
441	1998	1231.8817479112934	1378.682963361455
441	1999	1335.688227783416	1446.352819799204
441	2000	1453.8197669543006	1443.917249818317
441	2001	1583.8936759386947	1489.9483915243268
441	2002	1741.3860625160598	1673.857405068806
441	2003	1886.8887883196514	1790.3632470985067
441	2004	2017.5987805561674	1919.3646599342626
441	2005	2200.5670876613763	2102.117620305378
441	2006	2174.9940239114217	2076.8476079876177
441	2007	2181.8688921931316	2093.2474389714703
441	2008	2051.497533410994	1938.755679584306
441	2009	1786.852132854279	1764.6957486818737
441	2010	1891.0246334226983	1893.6617869522183
441	2011	2052.061074327563	2079.3178059270263
441	2012	2137.6398832927016	2141.6765183289144
441	2013	2169.8967413932305	2212.914463359993
441	2014	2177.0579279460726	2228.523513955773
