account	component	year	tot_emp	labor	gfcf
561	43-6012	2002	0.00020654432003119915	67.40166255279973	119.42072241811641
561	43-6012	2003	0.00019935411750093157	67.29162020834318	122.07821869549028
561	43-6012	2004	0.0001719116407547422	60.70796340432139	111.91445456346382
561	43-6012	2005	0.0001578035526672836	61.27220631581049	114.39030666261252
561	43-6012	2006	0.00018640659479611524	76.05876629853266	143.72732833145213
561	43-6012	2007	0.00017281017111292835	75.24753538795375	143.58370614529744
561	43-6012	2008	0.00015035880194728246	64.56596430990578	124.5560617372379
561	43-6012	2009	0.00012276194577684056	45.6141715579167	88.60057515136293
561	43-6012	2010	9.078254554257701e-5	35.18193650056929	68.63653499558208
561	43-6012	2011	7.402885826720522e-5	30.640654018286583	61.08340298735876
561	43-6012	2012	6.19727019140399e-5	26.840400688083026	54.151579009122116
561	43-6012	2013	7.64065571682881e-5	34.09828019452839	69.80994751588402
561	43-6012	2014	9.052114315272211e-5	42.274954278477	88.04728661524264
561	43-6012	2015	8.335126164059379e-5	40.75626165003297	85.91491168843356
561	43-6012	2016	7.655705125350134e-5	38.16606612370444	81.67155834834543
561	43-6012	2017	7.195637644677914e-5	38.818061727028386	83.96359545435487
561	43-6012	2018	7.688852780863962e-5	44.17510329712482	96.27877680146219
561	43-6012	2019	6.407095318141078e-5	36.82584091170418	80.5656907474391
561	43-6012	2020	7.190196724295048e-5	37.64551106593726	82.29326019653102
561	43-6012	2021	9.055214633226847e-5	47.566760016695206	103.5294113290032
561	43-6012	2022	9.94609080642766e-5	60.65291374229895	132.47663492384248
561	43-6012	2023	8.169695921346514e-5	46.68302252539072	102.44055665011273
561	43-6013	1997	0.00022319279077912256	35.74794052801785	54.32462909010925
561	43-6013	1998	0.00022319279077912256	39.649473167214495	61.75329114894719
561	43-6013	1999	0.00022319279077912256	42.53953642412698	68.15792781264065
561	43-6013	2000	0.00019620667897996645	42.57091868685382	70.94600514460437
561	43-6013	2001	0.00019145903323545364	42.715603762543026	72.92360591707164
561	43-6013	2002	0.00020654432003119915	48.236831609802714	85.46491376961434
561	43-6013	2003	0.00016348900757669858	38.90295410068858	70.57644508930474
561	43-6013	2004	0.00011725041517495765	28.979074168989975	53.422600553683154
561	43-6013	2005	0.00013317283942027372	36.681450208554494	68.48133257285983
561	43-6013	2006	0.00015295945962482104	43.47926594920507	82.16224160360176
561	43-6013	2007	0.0001477372668219901	43.91906755849602	83.80423967353069
561	43-6013	2008	0.0001456965135148086	44.162766285845265	85.1956646629534
561	43-6013	2009	0.00015988753421741734	46.40308874689146	90.1329611249021
561	43-6013	2010	0.00016252289860549152	50.52064328692184	98.56085951681538
561	43-6013	2011	0.0001740327545229035	55.60656197099518	110.85396648481121
561	43-6013	2012	0.00023229502836653363	77.40545702495663	156.1685971284774
561	43-6013	2013	0.000265831146814669	88.5533014688372	181.296572514228
561	43-6013	2014	0.0003035120682179506	107.55559486930478	224.0091905516726
561	43-6013	2015	0.00030242493161631375	116.37228898671779	245.31481854559743
561	43-6013	2016	0.00034522896697333625	137.36309716061376	293.94326804078844
561	43-6013	2017	0.00043173825868067484	182.30013988919058	394.3158034155677
561	43-6013	2018	0.00046058467629058884	195.620200231884	426.3504143794212
561	43-6013	2019	0.0004358984511386992	191.41852903415045	418.77566490528216
561	43-6013	2020	0.0004329498134522044	179.31791783764484	391.98979247928787
561	43-6013	2021	0.0004660663531632267	214.32239684081426	466.4743104588715
561	43-6013	2022	0.000701406612078284	367.6059587851034	802.9160908034121
561	43-6013	2023	0.000784010303868275	414.4182215469147	909.3934155211464
561	43-9021	1997	0.021733118335481354	3023.2652056613615	4594.327911278221
561	43-9021	1998	0.021733118335481354	3353.2245740224735	5222.582719677578
561	43-9021	1999	0.021733118335481354	3597.6422259970204	5764.233927949887
561	43-9021	2000	0.017130891489044	3191.7260037523656	5319.129031441576
561	43-9021	2001	0.014204649466142995	2718.7475417846376	4641.415709052053
561	43-9021	2002	0.012484456677441368	2495.9650559972206	4422.293736212612
561	43-9021	2003	0.010404608123214507	2092.1998977439403	3795.5994502834064
561	43-9021	2004	0.008540920812157324	1835.668624754998	3384.0346698913577
561	43-9021	2005	0.008431218385366295	1957.190559613645	3653.918175517124
561	43-9021	2006	0.008677084225596848	2080.610202182358	3931.7038680997107
561	43-9021	2007	0.008110891669623983	2051.724000714785	3915.0004646802927
561	43-9021	2008	0.007531926962661545	1921.55630991535	3706.929632779841
561	43-9021	2009	0.007376111911373795	1719.9096181815767	3340.7376737241457
561	43-9021	2010	0.005929207328144213	1484.8098026794871	2896.7194566377793
561	43-9021	2011	0.005809317246126472	1559.1482929686606	3108.2261964649433
561	43-9021	2012	0.005514749639860623	1578.3489399558273	3184.381944190957
561	43-9021	2013	0.005596780312577103	1651.6681534893462	3381.486293471496
561	43-9021	2014	0.005147153908763815	1605.6841528878304	3344.2054577181466
561	43-9021	2015	0.0048539201524418355	1601.2750813758632	3375.5158504628275
561	43-9021	2016	0.0045186716147880305	1520.4390359942627	3253.587232197951
561	43-9021	2017	0.0042038264302266745	1507.833593668231	3261.449032708754
561	43-9021	2018	0.003855250503570091	1457.1507035026223	3175.831562973474
561	43-9021	2019	0.003396120467789948	1324.1673254073464	2896.94553051538
561	43-9021	2020	0.0033313296480904963	1243.0055360704907	2717.215814294875
561	43-9021	2021	0.003479420022742757	1459.1572300966623	3175.866697991298
561	43-9021	2022	0.0035318982874074896	1640.8191985003161	3583.837816255901
561	43-9021	2023	0.0032513987244054176	1480.5427035968855	3248.881723933714
561	43-9022	1997	0.0013184531652253612	215.7480207360955	327.8631168759936
561	43-9022	1998	0.0013184531652253612	239.2947742640147	372.6970041500162
561	43-9022	1999	0.0013184531652253612	256.7370497705516	411.3506346337836
561	43-9022	2000	0.0014116575263690284	315.50504960458	525.8007945998934
561	43-9022	2001	0.0014103948777866957	329.3829494627381	562.3189253264449
561	43-9022	2002	0.0012671651529582936	300.5602048482781	532.5256890362491
561	43-9022	2003	0.0012066823997019004	291.95319237169844	529.6517687766978
561	43-9022	2004	0.0007774968218600394	203.53856662069924	375.22108119942834
561	43-9022	2005	0.0006726828691302018	186.12420235904443	347.478993582306
561	43-9022	2006	0.0006001449375857424	168.07670161481653	317.61250482347475
561	43-9022	2007	0.0004945148200151208	146.58203547560623	279.7007476643329
561	43-9022	2008	0.00035977325737256735	108.52263768641711	209.3541466317642
561	43-9022	2009	0.0003702658687140191	98.80595648522389	191.91984144348672
561	43-9022	2010	0.00030290371293230573	84.65392593502818	165.15157287771683
561	43-9022	2011	0.00028976597933830033	88.9551005210369	177.33564856887978
561	43-9022	2012	0.00022737004543296754	76.9955373722415	155.34156787808132
561	43-9022	2013	0.00018862868800921122	65.18422400585587	133.45269118419134
561	43-9022	2014	0.00015162925379643644	53.214183416858766	110.83073983797698
561	43-9022	2015	0.0001669483972093309	59.93242110828451	126.338590889582
561	43-9022	2016	0.0001714107562657011	64.88056974455905	138.8379200620725
561	43-9022	2017	0.000164400332298544	65.76201527685731	142.24345578606108
561	43-9022	2018	0.00012068264073524343	51.25681299807589	111.71322509430848
561	43-9022	2019	9.598644671372402e-5	41.347815185289676	90.45863472031594
561	43-9022	2020	8.997358467834444e-5	37.86360789290659	82.77002086258732
561	43-9022	2021	5.5440089591184777e-5	23.475955290502014	51.095593451364365
561	43-9022	2022	5.7328162287048326e-5	26.420832193359438	57.7077460076383
561	43-9022	2023	4.628325586342232e-5	21.14546104239051	46.40129714453674
