industry	account	line	level	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
    Construction	23	11	1	3852.5908799521403	4321.225569519732	4848.142370841213	5289.670590958076	5479.868411632639	5775.6534308842	6258.610971457361	7025.822930838297	7873.59920111299	8578.883131449378	8812.68335608498	8408.716317704484	7566.573097473439	7257.438183101471	7539.264764959407	7960.02103866114	8429.690718896636	9231.464939360076	9899.154282878671	10344.157042125813	10893.448185226303	11631.56298635225	12505.676765480437	11771.171105553844	13687.823372444362	16527.186276455584	17592.280081624544
    Manufacturing	31G	12	1	17341.627229804457	18806.939252659507	20237.418418135458	23162.15701792028	23190.780497180378	20885.075930568353	22523.98982882684	24066.79089516896	25142.731474928558	26363.929212816496	27562.56347471929	27641.733383889754	25822.926611289044	27156.42443070303	29192.24044354636	30881.87903692195	31404.870618752397	33698.11591154996	35818.14986362264	35939.324835989966	37731.798874258486	40269.62664696412	42056.05576209685	41634.64924142767	43662.42229444991	48449.48952291652	53479.46300255817
        Durable goods	33DG	13	2	11614.461582032145	12710.75759992542	13788.902360687562	16046.329193482494	15862.650978409769	13831.534698277646	15018.007777267678	16429.34980211232	17233.893418871456	18234.28187303308	19140.910447240265	19055.47579581487	17804.605699230357	18831.9654898252	20778.055311970864	21850.809826080356	21955.260587798664	23742.761358573833	25511.283065668533	25718.900698698777	27079.64436969676	29248.872733889795	30545.171760960027	29988.571379645426	31424.460663614038	34222.67225762759	38822.50946643247
            Wood products	321	14	3	316.0468158789389	346.68999393007084	376.5132329354642	405.8321140267935	409.92679246362337	367.6560038374744	382.18886013464356	396.585287042682	426.68386450714405	429.80036376515636	437.64092778090526	395.6730303780853	310.9816963696507	308.2217451422274	323.9111562308539	329.8074214659696	333.2776282036536	352.09164684094964	360.1242023846589	363.4439456711945	386.4014247056254	431.1793343420225	467.70998192394416	445.72971923951997	525.3903470979834	583.9453610920783	652.2957646948746
            Nonmetallic mineral products	327	15	3	377.0741855552381	404.06814210562	435.97401915658696	490.1020242793439	477.1471974276521	483.78372337132816	498.29683578417985	499.69956537847713	509.3158888746303	534.3195501648221	543.678673138183	541.9920848909528	446.67934581400226	475.8654817556537	482.4654049963349	506.652885668913	490.14958472210066	529.862981432054	568.2713686208796	603.6701989484062	619.3288017388148	639.1912327953155	686.0725150460178	651.0933172421123	678.923725604677	801.2187359040412	857.9279226564133
            Primary metals	331	16	3	503.59910554254435	529.3736253997812	551.3595460964568	566.1839489701431	512.2714984766143	444.7119088413592	458.8495445529242	501.9061505638266	528.9168515589616	565.7243265175164	546.4973040489123	550.7095410734078	439.20891474093736	488.0165115654678	583.2980455481529	619.5713133360919	608.3824302085671	625.1901281294842	688.7083671531403	650.0526128056654	684.2941197412922	755.4401532921564	747.714718408912	680.5207993406547	823.2559087098249	907.1666995326863	1013.1667389641889
            Fabricated metal products	332	17	3	1223.3891104377813	1313.0914579412452	1382.7356433200243	1503.2310066081643	1520.0505647642058	1547.4173651044193	1663.1104431966728	1712.652426414677	1828.0915839118263	1937.2369841029833	2044.2587100779392	2117.330267067085	1830.1704632489123	1848.3180196009553	2047.9103144609037	2193.230223310517	2215.888290020938	2341.3635559942277	2504.4790575583847	2337.27209129283	2480.656360903439	2719.3302887605714	2788.9267279795513	2547.391462522064	2797.2936110507985	3207.9784570359097	3473.3276066197454
            Machinery	333	18	3	1401.775679690529	1488.1317348109606	1553.5575236858292	1720.7659707270552	1689.7149142412586	1649.1246713370133	1690.649869518005	1743.1604893158462	1814.6529546310483	1926.957081305184	2066.870052712826	2089.2210390839914	1851.8233555161166	1973.3292492989376	2326.3652663809034	2528.824479134591	2585.5202660657883	2787.6452622304296	3338.821629393785	2779.742564283982	3088.9887602490194	3391.4976357350247	3656.6609462058595	3347.4352643485713	3607.230370771934	3972.730058777781	4348.797617471237
            Computer and electronic products	334	19	3	4361.804087649309	4823.5728596358595	5389.414417620993	6454.071666936954	6408.548147351496	5029.242926974882	5727.866883800039	6425.136212185501	6916.1587796745125	7285.446769443989	7507.890945464373	7502.4155507473415	7154.196647631526	7677.667743161993	8244.766455499532	8506.507505044996	8132.17393688977	8971.438702576294	9682.53071502572	10231.073189956916	10689.533857049357	11563.304512011959	12302.50029832101	13223.559651426194	13656.24814783879	14127.204313493072	16024.355195451399
            Electrical equipment, appliances, and components	335	20	3	458.4116424456128	488.9925750305517	527.9709112882117	619.5378593518445	617.7862275007535	582.2202250124272	594.7947329498651	648.1664180732233	693.8108748650841	724.5748709077111	767.7544207203645	768.6739745709568	750.0552049217488	781.7160522335861	866.953253286186	910.8725460766667	974.6785810192852	997.3634509110527	1007.9938186885984	1057.6705875022694	1163.407559576428	1209.0796961264514	1272.2763909665696	1205.281573567478	1478.6139152085473	1493.0879002993163	1611.5935075203581
            Motor vehicles, bodies and trailers, and parts	3361MV	21	3	888.52015612421	1026.9912603477105	1142.0394490629164	1304.9194209313982	1187.0606324253454	955.0495220665497	1069.6745285147542	995.7879275497693	1007.1347041770889	1023.4330178070387	1083.70671291927	960.9391990015603	613.4801166014801	823.4854921605013	960.8804442850868	1088.4274781962797	1176.6542623568114	1315.3138017029576	1371.6908806711565	1591.577753292723	1669.8623560310912	1647.6759636732133	1455.1072092747158	1336.7800608705104	1467.1774728372832	1859.394847490286	2621.9548287265043
            Other transportation equipment	3364OT	22	3	855.0772316606331	941.3852510914523	988.8662641812183	1340.767015788236	1349.2857348365783	1306.7191112826806	1344.508545253934	1821.9046933653335	1789.3306113785115	2047.7285744274259	2299.658240668448	2303.8542296993464	2664.663387367945	2731.9695159417633	3111.098296024165	3210.0457548473614	3394.3272691515385	3648.2607817362577	3679.858116557399	3766.6502210985045	3879.0494133515595	4277.751542759566	4426.0572614857265	3927.154726267449	3568.59149794579	4155.358934717296	4769.666760322997
            Furniture and related products	337	23	3	328.11092983688735	360.531231908843	393.6460807496962	430.2794743867729	439.9641598413204	397.8565294732063	434.27196087012504	449.33271503059444	424.92803635421603	422.0530474051162	426.5513705596276	402.9770809437209	336.30072583502596	322.83560557594615	350.0164027322111	360.7250179431255	390.58409849439585	395.48178534076766	432.5727305538715	434.8177154504828	470.0974761399925	509.2782077568032	516.5806789451368	493.10616310530753	546.3776241456964	595.8721408200132	625.2642415733626
