account	year	value
486	2014	6575
486	2015	7146
486	2016	7228
486	2017	7617
486	2018	7772
486	2019	8566
486	2020	8481
486	2021	8199
486	2022	8933
486	2023	9996
487OS	1988	30048
487OS	1989	30877
487OS	1990	32542
487OS	1991	34202
487OS	1992	36257
487OS	1993	38506
487OS	1994	39398
487OS	1995	40259
487OS	1996	41043
487OS	1997	43080
487OS	1998	46824
487OS	1999	48050
487OS	2000	51817
487OS	2001	53385
487OS	2002	52441
487OS	2003	54916
487OS	2004	59890
487OS	2005	62972
487OS	2006	63970
487OS	2007	67802
487OS	2008	69236
487OS	2009	65533
487OS	2010	67294
487OS	2011	68935
487OS	2012	72347
487OS	2013	74913
487OS	2014	77178
487OS	2015	83128
487OS	2016	85079
487OS	2017	91102
487OS	2018	98149
487OS	2019	110556
487OS	2020	116214
487OS	2021	137046
487OS	2022	154062
487OS	2023	162158
493	1988	10381
493	1989	11116
493	1990	11652
493	1991	12348
493	1992	12718
493	1993	13929
493	1994	14555
493	1995	15512
493	1996	16672
493	1997	17318
493	1998	18363
493	1999	17382
493	2000	19985
493	2001	20180
493	2002	20592
493	2003	21855
493	2004	25451
493	2005	27863
493	2006	28587
493	2007	31263
493	2008	31994
493	2009	32367
493	2010	32703
493	2011	33156
493	2012	35599
493	2013	36448
493	2014	38054
493	2015	43261
493	2016	48606
493	2017	53892
493	2018	60702
493	2019	64771
493	2020	76500
493	2021	93421
493	2022	109979
493	2023	111881
4A0	1988	128796
4A0	1989	135295
4A0	1990	142473
4A0	1991	147795
4A0	1992	151546
4A0	1993	157407
4A0	1994	165795
4A0	1995	175667
4A0	1996	183591
4A0	1997	191471
4A0	1998	203394
4A0	1999	213029
4A0	2000	227272
4A0	2001	229876
4A0	2002	232221
4A0	2003	241457
4A0	2004	250296
4A0	2005	263268
4A0	2006	269819
4A0	2007	277502
4A0	2008	271636
4A0	2009	254067
4A0	2010	255130
4A0	2011	261741
4A0	2012	268293
4A0	2013	275410
4A0	2014	285853
4A0	2015	300070
4A0	2016	307082
4A0	2017	318234
4A0	2018	332051
4A0	2019	344514
4A0	2020	335586
4A0	2021	367567
4A0	2022	395443
4A0	2023	414854
511	1988	27784
511	1989	30699
511	1990	32370
511	1991	34300
511	1992	35405
511	1993	37278
511	1994	41096
511	1995	44661
511	1996	48305
511	1997	53912
511	1998	63081
511	1999	72572
511	2000	76629
511	2001	74959
511	2002	69239
511	2003	70381
511	2004	71513
511	2005	73788
511	2006	76571
511	2007	82164
511	2008	81432
511	2009	78338
511	2010	76270
511	2011	81448
511	2012	84798
511	2013	84210
511	2014	90018
511	2015	96704
511	2016	96556
511	2017	103114
511	2018	113438
511	2019	123763
511	2020	135635
511	2021	164602
511	2022	164855
511	2023	177368
512	1988	11070
512	1989	11586
512	1990	13065
512	1991	15004
512	1992	15120
512	1993	16184
512	1994	18064
512	1995	19167
512	1996	21137
512	1997	24043
512	1998	24776
512	1999	24141
512	2000	25476
512	2001	27241
512	2002	26535
512	2003	28237
512	2004	29412
512	2005	28766
512	2006	30349
512	2007	33426
512	2008	33066
512	2009	33843
512	2010	35838
512	2011	36128
512	2012	38325
512	2013	36473
512	2014	40605
512	2015	44427
512	2016	43732
512	2017	43383
512	2018	46461
512	2019	47309
512	2020	38496
512	2021	50549
512	2022	55142
512	2023	48097
513	1988	51512
513	1989	53595
513	1990	54411
513	1991	57646
513	1992	59197
513	1993	61990
513	1994	65431
513	1995	69765
513	1996	74854
513	1997	79869
513	1998	87576
513	1999	100786
513	2000	110674
513	2001	110771
513	2002	106731
513	2003	106234
513	2004	109435
513	2005	108913
513	2006	109363
513	2007	120223
513	2008	116710
513	2009	115318
513	2010	110600
513	2011	112464
513	2012	113417
513	2013	114963
513	2014	117505
513	2015	115156
513	2016	114526
513	2017	115273
513	2018	115301
513	2019	115717
513	2020	114894
513	2021	117799
513	2022	119892
513	2023	124371
514	1988	10259
514	1989	11187
514	1990	12268
514	1991	13478
514	1992	13938
514	1993	15234
514	1994	16447
514	1995	18207
514	1996	20499
514	1997	22487
514	1998	26201
514	1999	29329
514	2000	24777
514	2001	41433
514	2002	37821
514	2003	38153
514	2004	40531
514	2005	41474
514	2006	43693
514	2007	38365
514	2008	38579
514	2009	37615
514	2010	39453
514	2011	44430
514	2012	50693
514	2013	63828
514	2014	69962
514	2015	81118
514	2016	88947
514	2017	102727
514	2018	118383
514	2019	129193
514	2020	148948
514	2021	190349
514	2022	192581
514	2023	208148
521CI	1988	74680
521CI	1989	80094
521CI	1990	83820
521CI	1991	88131
521CI	1992	89465
521CI	1993	97637
521CI	1994	101746
521CI	1995	102758
521CI	1996	105099
521CI	1997	111453
521CI	1998	125331
521CI	1999	132670
521CI	2000	136849
521CI	2001	153477
521CI	2002	164093
521CI	2003	178604
521CI	2004	187510
521CI	2005	201622
521CI	2006	212501
521CI	2007	216385
521CI	2008	204377
521CI	2009	188170
521CI	2010	190205
521CI	2011	201287
521CI	2012	214531
521CI	2013	221525
521CI	2014	225488
521CI	2015	239156
521CI	2016	251765
521CI	2017	265361
521CI	2018	277575
521CI	2019	292759
521CI	2020	323226
521CI	2021	351919
521CI	2022	348014
521CI	2023	353801
523	1988	49174
523	1989	51123
523	1990	47496
523	1991	49111
523	1992	53708
523	1993	60562
523	1994	73114
523	1995	68578
523	1996	84902
523	1997	107136
523	1998	113305
523	1999	111233
523	2000	122030
523	2001	172985
523	2002	152867
523	2003	136790
523	2004	148747
523	2005	189455
523	2006	216789
523	2007	190159
523	2008	85310
523	2009	176594
523	2010	182250
523	2011	158957
523	2012	226777
523	2013	223131
523	2014	210762
523	2015	213900
523	2016	253125
523	2017	280570
523	2018	273017
523	2019	259456
523	2020	306709
523	2021	350461
523	2022	327011
523	2023	335616
524	1988	70280
524	1989	76930
524	1990	82302
524	1991	90539
524	1992	95936
524	1993	101658
524	1994	107140
524	1995	111887
524	1996	116756
524	1997	124701
524	1998	133994
524	1999	138354
524	2000	147001
