component	lightcast
19-1013	0.10724743777452415
19-1021	0.07385952208544533
19-1022	0.2003543243678531
19-1023	0.24627579609129424
19-1031	0.0804947545654708
19-1032	0.2128060263653484
19-1041	0.44745762711864406
19-1042	0.09323686061702341
19-2011	0.0
19-2012	0.1259171464047861
19-2021	0.08326787117046347
19-2031	0.12354622402989997
19-2032	0.17762512266928362
19-2041	0.22540796095775506
19-2042	0.33304922224589817
19-2043	0.1858108108108108
19-3011	0.211020437639922
19-3022	0.489010989010989
19-3032	0.16741201633287964
19-3034	0.034017792850340296
19-3041	0.5868852459016394
19-3051	0.11977030352748154
19-3091	0.1828955797565663
19-3092	0.20305980528511822
19-3093	0.22916666666666666
19-3094	0.05490848585690516
19-4012 | 19-4013	0.2578993447059136
19-4021	0.37393422655298414
19-4031	0.10755555555555556
19-4042	0.17688360788549826
19-4043 | 19-4044	0.4384525205158265
19-4051	0.10051282051282051
19-4061	0.2899851650700259
19-4071	0.07197696737044146
19-4092	0.10264150943396226
19-5011	0.15000447434572864
19-5012	0.03821656050955414
21-1011 | 21-1014	0.11183840252881538
21-1012	0.11030898547818385
21-1013	0.09696232273223127
21-1015	0.09575755963229522
21-1021	0.12178283188940837
21-1022	0.20512074483561246
21-1023	0.12203529250474941
21-1091	0.07765399737876802
21-1092	0.04
21-1093	0.1381647374601577
21-1094 | 21-1099	0.16768535742758436
21-2011	0.025430993427945518
21-2021	0.007865168539325843
23-1011	0.08346312261335023
23-1012	0.1519756838905775
23-1021	0.3648293963254593
23-1022	0.1494013534617387
23-1023	0.10391566265060241
23-2011	0.25187839026535697
23-2093	0.2570337463954485
25-1011	0.09366925064599484
25-1021	0.09764991896272285
25-1022	0.04751810634163575
25-1031	0.10752842953793004
25-1032	0.029914529914529916
25-1041	0.08957415565345081
25-1042	0.010587012004915398
25-1043	0.05907172995780591
25-1051	0.02702702702702703
25-1052	0.01129267968646207
25-1053	0.0
25-1054	0.21468926553672316
25-1061	0.009720534629404616
25-1062	0.08211143695014662
25-1063	0.015027419699451606
25-1064	0.10144927536231885
25-1065	0.3333333333333333
25-1066	0.013274961163677447
25-1067	0.11267605633802817
25-1071	0.13995345228859582
25-1072	0.02776791040274529
25-1081	0.25925925925925924
25-1082	0.07928015564202334
25-1111	0.012791141657121039
25-1112	0.75
25-1113	0.04510972134848092
25-1121	0.021352313167259787
25-1122	0.009888220120378332
25-1123	0.008454368090179926
25-1124	0.04380791912384162
25-1125	0.0010922992900054614
25-1126	0.0035049288061336256
25-1192	0.014044943820224719
25-1193	0.08955223880597014
25-1194	0.21905424200278165
25-2011	0.019634738987302086
25-2012	0.02792362532506699
25-2021	0.04888607419231703
25-2022	0.12755916510356388
25-2023	0.27979048450458316
25-2031	0.030352748154224774
25-2032	0.05264235968865219
