%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
CB001256,"Water transportation","Quantity Contributions","Level",0,T20402:75,NONE
CB001257,"Women's and girls' clothing","Quantity Contributions","Level",0,T20402:32,NONE
CB001258,"Sports and recreational vehicles","Quantity Contributions","Level",0,T20402:16,NONE
CB001259,"Water supply and sanitation","Quantity Contributions","Level",0,T20402:56,NONE
CB001260,"PCE services excluding energy and housing","Quantity Contributions","Level",0,T20302:28|T20802:28,NONE
CB22RA,"Equals: Command-basis gross national product","Fisher Quantity Index","Level",0,T10803:10,NONE
CB22RL,"Command-basis gross national product","Fisher Quantity Index","Percent change, annual rate",0,T10803:18|T11701:14,NONE
CB22RX,"Command-basis gross national product","Chained Dollars","Level",-6,T10806:10|T11706:14,NONE
CBI20,"Food and kindred products","Current Dollars","Level",-6,U50705AU1:17,A625RC
CBI21,"Tobacco products","Current Dollars","Level",-6,U50705AU1:18,A625RC
CBI22,"Textile mill products","Current Dollars","Level",-6,U50705AU1:19,A625RC
CBI23,"Apparel products","Current Dollars","Level",-6,U50705AU1:20,A625RC
CBI24,"Lumber and wood products","Current Dollars","Level",-6,U50705AU1:4,A624RC
CBI25,"Furniture and fixtures","Current Dollars","Level",-6,U50705AU1:5,A624RC
CBI26,"Paper and allied products","Current Dollars","Level",-6,U50705AU1:21,A625RC
CBI27,"Printing and publishing","Current Dollars","Level",-6,U50705AU1:22,A625RC
CBI28,"Chemical and allied products","Current Dollars","Level",-6,U50705AU1:23,A625RC
CBI29,"Petroleum products","Current Dollars","Level",-6,U50705AU1:24,A625RC
CBI30,"Rubber and plastic products","Current Dollars","Level",-6,U50705AU1:25,A625RC
CBI31,"Leather and leather products","Current Dollars","Level",-6,U50705AU1:26,A625RC
CBI32,"Stone, clay, and glass products","Current Dollars","Level",-6,U50705AU1:6,A624RC
CBI33,"Primary metals","Current Dollars","Level",-6,U50705AU1:7,A624RC
CBI34,"Fabricated metals","Current Dollars","Level",-6,U50705AU1:8,A624RC
CBI35,"Industrial machinery","Current Dollars","Level",-6,U50705AU1:9,A624RC
CBI36,"Electronic machinery","Current Dollars","Level",-6,U50705AU1:10,A624RC
CBI37,"Transportation equipment","Current Dollars","Level",-6,U50705AU1:11,A624RC
